
EmNi5512,Emma,Nielsen,5551234,oakstreet5,28
SoJo6789,Sofia,Johansen,9876543210,birkevej7,34
LaPe2468,Lars,Pedersen,11223344,fyrrevej22,41
HeLa1357,Henrik,Larsen,87654321,søndergade45,52
NiJe8642,Nina,Jensen,6543210987,parkalle12,29
OsHa7531,Oscar,Hansen,3210987654,højagervej3,36
IdAn6420,Ida,Andersen,4445566,blomstervang8,24
MoSø9513,Morten,Sørensen,7654321098,skovbrynet19,48
FrPe3086,Freja,Petersen,22334455,engvej10,31
ViNg4725,Victor,Nguyen,9998887776,bygaden77,27
AmSm1285,Amalie,Smith,8887776665,cloverfield15,30
JaPa6093,Jasmine,Patel,7776665554,maplelane42,26
MaCh2085,Marie,Christensen,6665554443,lyngbyvej4,37
ThOl5823,Thea,Olsen,5554443332,vestergade9,29
KrKn4023,Kristian,Knutsen,4443332221,brunkeberg1,44
LiMo7351,Liv,Mohammed,3332221110,islamarksvej6,33
ErSi9142,Erik,Simonsen,2221110009,nordretoft18,50
AnPe6251,Anika,Pedersen,1110009998,sydhavnsgade2,28
OlWi3095,Oliver,Wilson,9998887776,mainstreet77,26
EmHa7743,Emilia,Hansen,8887776665,birchroad12,35
NoPe1350,Nora,Pedersen,7776665554,nygade34,41
LuSc9821,Lucas,Schmidt,6665554443,oakavenue56,30
MaJu6412,Maja,Juhl,5554443332,hvidovrevej7,24
FiHo7539,Finn,Holm,4443332221,amagerbrogade8,47
AlBe2084,Ali,Begum,3332221110,rosengade33,29
YuMe5023,Yusuf,Mehmet,2221110009,turkiskgatan11,38
SoLi6094,Sofia,Lindgren,1110009998,svenssongatan5,28
LeYo8723,Leila,Youssef,9998887776,cedarlane19,34
JiKi4502,Ji-hoon,Kim,8887776665,koreastreet42,31
AmHa3087,Amina,Hassan,7776665554,rosenvej8,29
RuSh7530,Runa,Sharma,6665554443,indianroad3,27
EdNo4012,Edvin,Nordström,5554443332,svenskalle9,45
TiBa9143,Tina,Bach,4443332221,grønnegade14,32
RaAl6723,Rasmus,Alvestad,3332221110,vestretoft22,39
SaKa5029,Sarah,Karlsen,2221110009,østergade5,26
HaEl7531,Hassan,El-Masri,1110009998,cairostreet7,43
EvJo4012,Eva,Johansson,9998887776,stockholmsgatan2,30
MiSh9143,Mia,Shah,8887776665,pakistanivej9,25
BeGr5023,Bella,Grace,7776665554,flowerlane55,36
JoMa6723,Jonas,Madsen,6665554443,skolegade12,48
KaKo4012,Karoline,Koch,5554443332,tyskerstrasse4,29
LuAn9143,Luna,Andersen,4443332221,mågevej17,22
SeMo5023,Sebastian,Mortensen,3332221110,havnevej6,51
InSu6723,Ingrid,Sund,2221110009,bergensgata8,33
ElPr4012,Elin,Prasad,1110009998,nepalstien3,27
ToBr9143,Tobias,Brown,9998887776,londonroad12,40
FeLi5023,Felix,Lindberg,8887776665,malmövägen7,31
IsWi6723,Isabella,Williams,7776665554,nycavenue99,28
NiCh4012,Nikolaj,Chowdhury,6665554443,bangladeshvej1,44
HeGu9143,Helena,Gunnarsson,5554443332,oslogate14,37
RoBa5023,Rosa,Bakken,4443332221,askervei22,26
SiHo6723,Signe,Holm,3332221110,trondheimsvej5,49
TyLe4012,Tyson,Lee,2221110009,seoulstreet88,29
LiPe9143,Linn,Pettersson,1110009998,göteborgsgatan3,35
MiTh5023,Mikkel,Thomsen,9998887776,ringstedvej10,42
AlGr6723,Alejandro,Garcia,8887776665,madridalley7,31
ErWi4012,Erna,Wikan,7776665554,norwayroad6,28
